round,case,name,milliseconds
2,584,Current,0.613927841186523
2,584,Strict,0.579118728637695
2,584,Strong,0.573158264160156
2,584,Gentle,0.581026077270508
3,304,Gentle,0.571966171264648
3,304,Strict,0.55384635925293
3,304,Current,0.545978546142578
3,304,Strong,0.535964965820313
1,150,Strong,0.562191009521484
1,150,Current,0.547885894775391
1,150,Gentle,0.548124313354492
1,150,Strict,0.545024871826172
3,10,Strict,0.559806823730469
3,10,Gentle,0.576019287109375
3,10,Current,0.581026077270508
3,10,Strong,0.570058822631836
3,240,Strong,0.590085983276367
3,240,Current,0.586986541748047
3,240,Strict,0.593185424804688
3,240,Gentle,0.596046447753906
3,584,Strict,0.608205795288086
3,584,Current,0.591039657592773
3,584,Strong,0.546932220458984
3,584,Gentle,0.53095817565918
1,216,Strong,0.545978546142578
1,216,Gentle,0.545024871826172
1,216,Strict,0.535964965820313
1,216,Current,0.536203384399414
2,406,Strict,0.652074813842773
2,406,Current,0.651121139526367
2,406,Gentle,0.627994537353516
2,406,Strong,0.646829605102539
2,147,Strict,0.543117523193359
2,147,Current,0.560998916625977
2,147,Gentle,0.566005706787109
2,147,Strong,0.550031661987305
2,535,Gentle,0.538825988769531
2,535,Strict,0.524997711181641
2,535,Current,0.524044036865234
2,535,Strong,0.532865524291992
2,549,Current,0.546932220458984
2,549,Strong,0.540018081665039
2,549,Strict,0.545978546142578
2,549,Gentle,0.547885894775391
3,241,Strict,0.577211380004883
3,241,Strong,0.530004501342773
3,241,Gentle,0.543117523193359
3,241,Current,0.524997711181641
1,436,Strict,0.540971755981445
1,436,Strong,0.538110733032227
1,436,Current,0.586986541748047
1,436,Gentle,0.561952590942383
1,474,Current,0.540971755981445
1,474,Gentle,0.53715705871582
1,474,Strong,0.5340576171875
1,474,Strict,0.530004501342773
3,17,Current,0.527143478393555
3,17,Strict,0.516176223754883
3,17,Gentle,0.49281120300293
3,17,Strong,0.518083572387695
1,52,Strict,0.527858734130859
1,52,Strong,0.519037246704102
1,52,Gentle,0.540018081665039
1,52,Current,0.526189804077148
2,347,Strict,0.537872314453125
2,347,Current,0.587940216064453
2,347,Gentle,0.684976577758789
2,347,Strong,0.58293342590332
3,518,Gentle,0.854969024658203
3,518,Strong,0.819206237792969
3,518,Strict,0.648021697998047
3,518,Current,0.654935836791992
2,1,Strong,0.647068023681641
2,1,Gentle,0.735044479370117
2,1,Strict,0.660896301269531
2,1,Current,0.61798095703125
1,58,Strong,0.931978225708008
1,58,Gentle,0.647068023681641
1,58,Current,0.810146331787109
1,58,Strict,0.5950927734375
2,435,Strong,0.590085983276367
2,435,Gentle,0.586032867431641
2,435,Strict,0.58293342590332
2,435,Current,0.576019287109375
3,553,Current,0.588893890380859
3,553,Strict,0.588178634643555
3,553,Gentle,0.578880310058594
3,553,Strong,0.609874725341797
3,134,Strict,0.609159469604492
3,134,Strong,0.590085983276367
3,134,Current,0.602006912231445
3,134,Gentle,0.59199333190918
1,460,Gentle,0.59199333190918
1,460,Current,0.586986541748047
1,460,Strict,0.600099563598633
1,460,Strong,0.609874725341797
2,253,Strong,0.611066818237305
2,253,Strict,0.560998916625977
2,253,Gentle,0.576019287109375
2,253,Current,0.563859939575195
2,329,Strong,0.543117523193359
2,329,Current,0.560998916625977
2,329,Gentle,0.661849975585938
2,329,Strict,0.53715705871582
2,517,Strong,0.553131103515625
2,517,Current,0.533103942871094
2,517,Strict,0.504970550537109
2,517,Gentle,0.566005706787109
1,139,Current,0.598907470703125
1,139,Strict,0.557899475097656
1,139,Strong,0.555038452148438
1,139,Gentle,0.550985336303711
2,460,Strict,0.609874725341797
2,460,Current,0.572919845581055
2,460,Gentle,0.540018081665039
2,460,Strong,0.5340576171875
3,569,Strict,0.541925430297852
3,569,Gentle,0.510931015014648
3,569,Current,0.509023666381836
3,569,Strong,0.500917434692383
2,534,Current,0.56004524230957
2,534,Strong,0.536918640136719
2,534,Gentle,0.973224639892578
2,534,Strict,0.572919845581055
1,208,Current,0.599861145019531
1,208,Gentle,0.554084777832031
1,208,Strong,0.559806823730469
1,208,Strict,0.768184661865234
2,67,Strong,0.581979751586914
2,67,Current,0.598907470703125
2,67,Gentle,0.550985336303711
2,67,Strict,0.567913055419922
2,297,Gentle,0.528812408447266
2,297,Strict,0.524044036865234
2,297,Strong,0.524044036865234
2,297,Current,0.507116317749023
1,99,Gentle,0.555992126464844
1,99,Current,0.552892684936523
1,99,Strict,0.536918640136719
1,99,Strong,0.545978546142578
2,241,Strict,0.544071197509766
2,241,Gentle,0.531911849975586
2,241,Current,0.546932220458984
2,241,Strong,0.507116317749023
2,422,Strong,0.540018081665039
2,422,Strict,0.583887100219727
2,422,Gentle,0.581026077270508
